"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.776312262767944E9,"2026-04-16 13:04:22.768 UTC+09:00"
"PAUSE",5.299856970833207E1,1.776312315765288E9,"2026-04-16 13:05:15.765 UTC+09:00"
