"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.782358281645924E9,"2026-06-25 12:31:21.646 UTC+09:00"
"PAUSE",5.645719983329764E1,1.782358338102120E9,"2026-06-25 12:32:18.102 UTC+09:00"
