"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.040250000E-2,-1.596317589E-1,1.806744456E0,-1.973446012E-1
3.044249999E-2,-1.993426830E-1,1.615364671E0,-1.138142943E-1
4.048249999E-2,-2.470990121E-1,1.279418111E0,-7.660194486E-2
5.052349999E-2,-2.571378946E-1,9.555150270E-1,-6.488079578E-2
6.056349998E-2,-1.412328780E-1,9.333513975E-1,2.053759992E-1
7.060350000E-2,-8.520143479E-2,9.458702803E-1,1.813648343E-1
8.064450001E-2,-9.091604501E-2,9.524357319E-1,-2.767812274E-2
9.068450000E-2,-7.653222978E-2,9.422383904E-1,-1.048768833E-1
1.007245000E-1,-9.635706991E-2,8.843572736E-1,-1.375621259E-1
1.107655000E-1,-1.482810378E-1,7.928634286E-1,-1.507631540E-1
1.208055000E-1,-1.572764069E-1,6.284268498E-1,-1.512377262E-1
1.308455000E-1,-1.521380991E-1,4.650719762E-1,-5.735731497E-2
1.408855000E-1,-1.348837465E-1,2.832837999E-1,-2.203714103E-2
1.509265000E-1,-1.326230913E-1,1.344474405E-1,-3.907820955E-2
1.609665000E-1,-1.309495568E-1,6.059825048E-2,-6.903877109E-2
1.710065000E-1,-1.134083271E-1,5.155562609E-2,-6.065033376E-2
1.810470000E-1,-1.049376130E-1,5.285524949E-2,-2.726308256E-2
1.910870000E-1,-1.051809713E-1,5.712116510E-2,-1.106244791E-2
2.011270000E-1,-9.522260725E-2,6.757753342E-2,-1.473787706E-2
2.111680000E-1,-8.065620065E-2,7.567638904E-2,-1.507544518E-2
2.212080000E-1,-7.578421384E-2,8.165784925E-2,-1.749199629E-2
2.312480000E-1,-7.027249783E-2,9.793293476E-2,-1.358146593E-2
2.412880000E-1,-5.768267065E-2,1.242079437E-1,-9.486587718E-3
2.513290000E-1,-4.864712059E-2,1.405790299E-1,-6.124414504E-3
2.613690000E-1,-3.741071001E-2,1.389654279E-1,-3.734227736E-3
2.714090000E-1,-2.593595535E-2,1.286460310E-1,-3.603539430E-3
2.814500000E-1,-1.202786341E-2,1.218531132E-1,2.436776413E-3
2.914900000E-1,3.903640900E-3,1.228298172E-1,3.618407529E-3
3.015300000E-1,1.286571100E-2,1.316070706E-1,3.723602276E-3
3.115710000E-1,1.628664695E-2,1.303778589E-1,1.282768906E-3
3.216110000E-1,2.024490386E-2,1.314580292E-1,-3.532109549E-4
3.316510000E-1,2.161768451E-2,1.216652915E-1,-2.085410990E-3
3.416920000E-1,2.441080846E-2,9.526511282E-2,1.678168192E-3
3.517320000E-1,3.144776449E-2,6.313454360E-2,5.284507759E-3
3.617720000E-1,3.345445544E-2,4.080953076E-2,8.246209472E-3
3.718130000E-1,3.833991289E-2,4.127584025E-2,5.939085968E-3
3.818530000E-1,3.907600790E-2,5.649793521E-2,4.517490510E-3
3.918930000E-1,3.880287707E-2,8.211284876E-2,4.861791153E-3
4.019330000E-1,3.690164536E-2,9.390798956E-2,3.166422714E-3
4.119740000E-1,3.007647581E-2,9.284682572E-2,5.047927261E-4
4.220140000E-1,1.674841903E-2,8.977540582E-2,-2.539732959E-3
4.320540000E-1,1.337670535E-2,7.989082485E-2,-1.731969649E-3
4.420950000E-1,9.315384552E-3,6.927440315E-2,-3.885401879E-3
4.521350000E-1,-1.366271870E-3,5.395998061E-2,-5.709786899E-3
4.621750000E-1,-9.024724364E-3,4.919878021E-2,-2.566191833E-3
4.722160000E-1,-2.515389025E-2,5.809354782E-2,1.249772264E-3
4.822560000E-1,-4.697076976E-2,6.951025128E-2,8.428855799E-3
4.922960000E-1,-7.336559892E-2,8.339870721E-2,1.721556298E-2
5.023360000E-1,-9.453053772E-2,9.381859004E-2,2.354323305E-2
5.123770000E-1,-1.130239740E-1,1.071854755E-1,3.541922197E-2
5.224170000E-1,-1.109379157E-1,1.105826050E-1,3.362877667E-2
5.324570000E-1,-1.046809554E-1,8.296597749E-2,2.358829975E-2
5.424980000E-1,-9.748323262E-2,4.434641823E-2,1.130500250E-2
5.525380000E-1,-9.147091210E-2,1.599389315E-2,8.588897996E-3
5.625780000E-1,-8.674912900E-2,-2.904164605E-3,4.825851414E-3
5.726190000E-1,-8.423464745E-2,-1.798656583E-2,-4.727979656E-3
5.826590000E-1,-8.294674009E-2,-1.775833592E-2,-1.263863314E-2
5.926990000E-1,-7.264525443E-2,-7.231114432E-3,-1.561175846E-2
6.027390000E-1,-5.659917369E-2,2.003086545E-2,-1.531215385E-2
6.127800000E-1,-3.458770365E-2,4.950146750E-2,-1.046455465E-2
6.228200000E-1,-7.988847792E-3,7.914964110E-2,-7.409909740E-3
6.328600000E-1,5.868979264E-3,9.752716869E-2,-8.233720437E-4
6.429010000E-1,1.012897119E-2,1.042857394E-1,-6.758328527E-4
6.529410000E-1,3.499848768E-3,8.528150618E-2,3.836773336E-3
6.629810000E-1,-2.108502202E-3,3.100894764E-2,1.082038041E-2
6.730220000E-1,-1.262329984E-3,-2.932707965E-2,2.460311167E-2
6.830620000E-1,5.829744041E-4,-6.058140099E-2,4.045264795E-2
6.931020000E-1,2.820029622E-3,-7.128445804E-2,4.441604391E-2
7.031430000E-1,9.044902399E-3,-5.450148508E-2,3.891821578E-2
7.131830000E-1,1.841574535E-2,-1.675905846E-2,2.386063524E-2
7.232230000E-1,3.245007247E-2,1.000171620E-2,5.016107112E-3
7.332630000E-1,5.214416236E-2,1.823779196E-2,-7.987847552E-3
7.433040000E-1,6.603760272E-2,2.266316675E-2,-1.745059155E-2
7.533440000E-1,7.889647037E-2,2.395999990E-2,-2.665872499E-2
7.633840000E-1,8.524997532E-2,1.861450262E-2,-3.734998405E-2
7.734250000E-1,8.934263885E-2,8.806670085E-3,-4.408261180E-2
7.834650000E-1,9.390117228E-2,-6.564030424E-3,-4.549355432E-2
7.935050000E-1,9.572735429E-2,-1.709669456E-2,-3.979038075E-2
8.035460000E-1,9.491588920E-2,-1.746953651E-2,-2.466149256E-2
