"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.215000033E-4,-9.396260376E0,-1.860630798E-1,4.790039062E-1
1.036150000E-2,-9.076974335E0,-1.270557861E0,-2.606080627E-1
2.040250000E-2,-9.679172058E0,-1.286873932E0,1.365161133E-1
3.044249999E-2,-1.015697845E1,-1.118474121E0,6.159690857E-1
4.048249999E-2,-1.042102936E1,-7.503895569E-1,3.671864319E-1
5.052349999E-2,-1.064945435E1,-4.085005188E-1,2.439926147E-1
6.056349998E-2,-1.096140564E1,-1.692979431E-1,1.027613068E0
7.060350000E-2,-9.404942322E0,6.691085815E-2,1.138233032E0
8.064450001E-2,-8.830437012E0,1.287322998E-2,6.948550415E-1
9.068450000E-2,-9.484576721E0,-1.389111328E-1,4.951702881E-1
1.007245000E-1,-9.970765686E0,-2.095642090E-1,1.615141296E-1
1.107655000E-1,-1.016775604E1,-1.074765015E-1,-1.616638184E-1
1.208055000E-1,-1.021730301E1,-1.751358032E-1,-2.833607483E-1
1.308455000E-1,-1.035322037E1,-5.731581116E-1,-3.674858093E-1
1.408855000E-1,-1.029918274E1,-6.430627441E-1,-3.779640198E-1
1.509265000E-1,-1.021161484E1,-4.791535950E-1,-3.908372498E-1
1.609665000E-1,-1.022538620E1,-4.170327759E-1,-2.986289978E-1
1.710065000E-1,-1.032822235E1,-3.767665100E-1,-1.528321838E-1
1.810470000E-1,-1.032223480E1,-4.379891968E-1,-1.493893433E-1
1.910870000E-1,-1.011701157E1,-4.971162415E-1,-8.068222046E-2
2.011270000E-1,-9.880503387E0,-5.709127808E-1,4.790039063E-2
2.111680000E-1,-9.649533691E0,-6.147715759E-1,4.161346436E-2
2.212080000E-1,-9.501940613E0,-5.959107971E-1,1.092727661E-2
2.312480000E-1,-9.425898743E0,-6.036946106E-1,1.047821045E-2
2.412880000E-1,-9.457183685E0,-6.069877625E-1,1.293310547E-1
2.513290000E-1,-9.525591431E0,-5.709127808E-1,1.613644409E-1
2.613690000E-1,-9.522148590E0,-5.002597046E-1,1.158590698E-1
2.714090000E-1,-9.529633026E0,-4.546046448E-1,9.310638428E-2
2.814500000E-1,-9.568103027E0,-4.311035156E-1,4.999603271E-2
2.914900000E-1,-9.607770538E0,-4.394860840E-1,5.613327026E-2
3.015300000E-1,-9.645192719E0,-4.484674072E-1,1.691482544E-2
3.115710000E-1,-9.707612915E0,-4.571493530E-1,-7.005432129E-2
3.216110000E-1,-9.823322296E0,-4.590953064E-1,-7.634124756E-2
3.316510000E-1,-9.930200043E0,-4.658312988E-1,-6.556365967E-2
3.416920000E-1,-9.981543274E0,-4.739144897E-1,-5.418731689E-2
3.517320000E-1,-9.970466309E0,-4.809498596E-1,-7.708969116E-2
3.617720000E-1,-9.871971130E0,-4.689747620E-1,-1.181044006E-1
3.718130000E-1,-9.803563385E0,-4.333488464E-1,-1.573228455E-1
3.818530000E-1,-9.700278168E0,-4.095483398E-1,-2.300715637E-1
3.918930000E-1,-9.651928711E0,-3.855981445E-1,-2.742297363E-1
4.019330000E-1,-9.665999451E0,-3.606001282E-1,-2.402503967E-1
4.119740000E-1,-9.675429840E0,-3.097059631E-1,-2.026785278E-1
4.220140000E-1,-9.739795990E0,-2.894979858E-1,-1.353186035E-1
4.320540000E-1,-9.761051788E0,-3.019221497E-1,-8.472381592E-2
4.420950000E-1,-9.759105835E0,-3.249742126E-1,-7.888595581E-2
4.521350000E-1,-9.731712799E0,-3.459306335E-1,-1.495390320E-1
4.621750000E-1,-9.741741943E0,-3.423381042E-1,-2.254312134E-1
4.722160000E-1,-9.739346924E0,-3.367996216E-1,-2.644999695E-1
4.822560000E-1,-9.764794006E0,-3.335064697E-1,-3.381468201E-1
4.922960000E-1,-9.788444824E0,-3.266207886E-1,-4.468208313E-1
5.023360000E-1,-9.791887665E0,-3.382965088E-1,-4.944218445E-1
5.123770000E-1,-9.841434631E0,-3.520678711E-1,-5.209167480E-1
5.224170000E-1,-9.884245605E0,-4.405339050E-1,-4.620890808E-1
5.324570000E-1,-9.829010468E0,-5.833369446E-1,-4.626878357E-1
5.424980000E-1,-9.768685913E0,-6.724017334E-1,-5.162763977E-1
5.525380000E-1,-9.768685913E0,-7.189549255E-1,-5.028044128E-1
5.625780000E-1,-9.752070465E0,-7.135661316E-1,-5.083428955E-1
5.726190000E-1,-9.661359100E0,-6.589297485E-1,-5.261558533E-1
5.826590000E-1,-9.571545868E0,-5.945635986E-1,-5.117857361E-1
5.926990000E-1,-9.495054932E0,-5.529501343E-1,-4.884342957E-1
6.027390000E-1,-9.477691040E0,-5.129832458E-1,-4.315525818E-1
6.127800000E-1,-9.469308472E0,-5.108876038E-1,-3.739224243E-1
6.228200000E-1,-9.519753571E0,-5.486091614E-1,-3.655398560E-1
6.328600000E-1,-9.652527466E0,-6.122268677E-1,-4.245172119E-1
6.429010000E-1,-9.865085449E0,-6.291416931E-1,-5.816903687E-1
6.529410000E-1,-1.007045837E1,-6.405180359E-1,-7.087760925E-1
6.629810000E-1,-1.017838394E1,-6.433621216E-1,-7.933502197E-1
6.730220000E-1,-1.013003448E1,-6.514453125E-1,-7.893086243E-1
6.830620000E-1,-1.002151016E1,-5.484594727E-1,-7.327262878E-1
6.931020000E-1,-9.838590546E0,-3.668870544E-1,-6.562353516E-1
7.031430000E-1,-9.700128479E0,-1.778302002E-1,-5.442681885E-1
7.131830000E-1,-9.640402679E0,-5.269042969E-2,-3.900888062E-1
