"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.776312709994798E9,"2026-04-16 13:11:49.995 UTC+09:00"
"PAUSE",1.450456666666287E1,1.776312724499030E9,"2026-04-16 13:12:04.499 UTC+09:00"
