"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.776312828695466E9,"2026-04-16 13:13:48.695 UTC+09:00"
"PAUSE",1.677611958333000E1,1.776312845471197E9,"2026-04-16 13:14:05.471 UTC+09:00"
