"event","experiment time","system time","system time text"
"START",0.000000000E0,1746522966.272,"2025-05-06 18:16:06.272 UTC+09:00"
"PAUSE",5.292816775E1,1746523019.201,"2025-05-06 18:16:59.201 UTC+09:00"
