"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.774950683168941E9,"2026-03-31 18:51:23.169 UTC+09:00"
"PAUSE",6.157956124999328E1,1.774950744747453E9,"2026-03-31 18:52:24.747 UTC+09:00"
