"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.774950965162083E9,"2026-03-31 18:56:05.162 UTC+09:00"
"PAUSE",4.182835649995832E1,1.774951006989727E9,"2026-03-31 18:56:46.990 UTC+09:00"
