"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.201702540E-1,-9.699904442E0,5.018945336E-1,1.040877819E0
8.301702540E-1,-9.628120422E0,6.604190469E-1,1.049850941E0
8.401702540E-1,-9.595816612E0,7.226324677E-1,1.164108157E0
8.501702540E-1,-9.552745819E0,6.747759581E-1,1.150349498E0
8.601702540E-1,-9.535996437E0,6.412764788E-1,8.213363886E-1
8.701702540E-1,-9.937392235E0,3.146561682E-1,3.092723191E-1
8.801702540E-1,-9.987043381E0,3.385843933E-1,5.144568682E-1
8.901702540E-1,-9.824331284E0,4.779663086E-1,4.666004181E-1
9.001702540E-1,-9.701699257E0,4.683950245E-1,6.777670383E-1
9.101702540E-1,-9.668798447E0,4.827519655E-1,7.830511928E-1
9.201702540E-1,-9.645467758E0,4.301098585E-1,8.362914920E-1
9.301702540E-1,-9.616754532E0,3.535395563E-1,8.560323119E-1
9.401702540E-1,-9.649655342E0,3.439682424E-1,8.321040869E-1
9.501702540E-1,-9.707681656E0,2.913261652E-1,9.038887620E-1
9.601702540E-1,-9.672387123E0,3.583251834E-1,6.071787477E-1
9.701702540E-1,-9.620942116E0,6.221339107E-1,6.915257573E-1
9.801702540E-1,-9.597013474E0,4.737788737E-1,7.597211599E-1
9.901702540E-1,-9.631111145E0,6.029912829E-1,7.776673436E-1
1.000170254E0,-9.611968994E0,6.029912829E-1,7.776673436E-1
1.010170254E0,-9.625128746E0,5.838487148E-1,6.442674994E-1
1.020170254E0,-9.658628464E0,5.838487148E-1,6.149554253E-1
1.030170254E0,-9.714859962E0,5.306084156E-1,5.294120312E-1
1.040170254E0,-9.743574142E0,4.683950245E-1,5.006981492E-1
1.050170254E0,-9.724431038E0,4.683950245E-1,5.341976285E-1
1.060170254E0,-9.672387123E0,5.024927258E-1,6.011967063E-1
1.070170254E0,-9.649655342E0,4.689932466E-1,7.453642488E-1
1.080170254E0,-9.630513191E0,4.061816335E-1,7.986045480E-1
1.090170254E0,-9.625727654E0,3.631108403E-1,7.507480979E-1
1.100170254E0,-9.686744690E0,3.056831062E-1,6.789634228E-1
1.110170254E0,-9.729216576E0,2.865405083E-1,5.832505226E-1
1.120170254E0,-9.790832520E0,2.721835673E-1,4.971089065E-1
1.130170254E0,-9.805189133E0,2.482553422E-1,4.971089065E-1
1.140170254E0,-9.800403595E0,2.482553422E-1,5.545366406E-1
1.150170254E0,-9.796216011E0,2.865405083E-1,6.065805554E-1
1.160170254E0,-9.854242325E0,3.152543902E-1,6.921239495E-1
1.170170254E0,-9.887741089E0,3.583251834E-1,6.819544435E-1
1.180170254E0,-9.915857315E0,4.301098585E-1,5.808576941E-1
1.190170254E0,-9.872786522E0,4.588237405E-1,5.192425251E-1
1.200170254E0,-9.876974106E0,5.162515044E-1,4.372883439E-1
1.210170254E0,-9.833903313E0,6.263213158E-1,4.079762697E-1
1.220170254E0,-9.733404160E0,6.747759581E-1,4.229314029E-1
1.230170254E0,-9.658030510E0,7.274180651E-1,4.995017350E-1
1.240170254E0,-9.567103386E0,7.130611539E-1,5.096712112E-1
1.250170254E0,-9.494720459E0,6.173482537E-1,5.108676553E-1
1.260170254E0,-9.533005714E0,5.024927258E-1,5.449653864E-1
1.270170254E0,-9.614361763E0,4.881358147E-1,5.060819983E-1
1.280170254E0,-9.613164902E0,4.163511395E-1,3.924229145E-1
1.290170254E0,-9.655637741E0,3.918247223E-1,3.110669553E-1
1.300170254E0,-9.683753014E0,3.200400174E-1,2.727817893E-1
1.310170254E0,-9.703494072E0,3.391826153E-1,2.967100143E-1
1.320170254E0,-9.684351921E0,3.678964674E-1,2.967100143E-1
1.330170254E0,-9.646066666E0,3.296113312E-1,3.349951804E-1
1.340170254E0,-9.646066666E0,3.296113312E-1,3.349951804E-1
1.350170254E0,-9.698708534E0,4.588237405E-1,3.002992272E-1
1.360170254E0,-9.741779327E0,4.923232496E-1,2.853440940E-1
1.370170254E0,-9.770493507E0,4.683950245E-1,3.140579760E-1
1.380170254E0,-9.770493507E0,4.683950245E-1,3.140579760E-1
1.390170254E0,-9.775876999E0,5.162515044E-1,3.427718580E-1
1.400170254E0,-9.751350403E0,5.066801906E-1,3.284149170E-1
1.410170254E0,-9.698708534E0,5.018945336E-1,2.907279432E-1
1.420170254E0,-9.694520950E0,4.971089065E-1,3.672982752E-1
1.430170254E0,-9.579665184E0,4.115654826E-1,3.876372576E-1
1.440170254E0,-9.570692062E0,4.067798555E-1,4.642075896E-1
1.450170254E0,-9.537193298E0,2.823530734E-1,4.989035130E-1
1.460170254E0,-9.533005714E0,2.775674164E-1,5.467599630E-1
1.470170254E0,-9.561718941E0,2.297109663E-1,5.611169338E-1
1.480170254E0,-9.609575272E0,2.291127741E-1,6.275177598E-1
1.490170254E0,-9.657432556E0,2.099701911E-1,6.179464459E-1
1.500170254E0,-9.681360245E0,1.860419661E-1,5.700899959E-1
1.510170254E0,-9.699904442E0,2.434697002E-1,4.785645306E-1
1.520170254E0,-9.723833084E0,2.099701911E-1,5.078766346E-1
1.530170254E0,-9.531210899E0,4.498506486E-1,2.494517565E-1
1.540170254E0,-9.292527199E0,6.466603279E-1,2.685943544E-1
1.550170254E0,-9.659226418E0,3.008974493E-1,7.794619799E-1
1.560170254E0,-1.013121128E1,1.034895778E-1,6.825526357E-1
1.570170254E0,-1.013240719E1,1.322034448E-1,1.567298770E-1
1.580170254E0,-1.006839943E1,1.369891018E-1,-8.673982322E-2
1.590170254E0,-9.930213928E0,1.902294010E-1,9.571290575E-3
1.600170254E0,-9.927223206E0,6.101697683E-2,2.542374134E-1
1.610170254E0,-9.961320877E0,8.494520187E-2,3.493520916E-1
1.620170254E0,-9.961320877E0,9.451649338E-2,3.445664644E-1
1.630170254E0,-9.913464546E0,1.136590764E-1,3.206382394E-1
1.640170254E0,-9.817750931E0,2.434697002E-1,2.727817893E-1
1.650170254E0,-9.755537987E0,2.961117923E-1,2.823530734E-1
1.660170254E0,-9.732208252E0,3.631108403E-1,3.104687333E-1
1.670170254E0,-9.741779327E0,4.157529473E-1,2.955136001E-1
1.680170254E0,-9.770493507E0,4.588237405E-1,3.098705411E-1
1.690170254E0,-9.760921478E0,4.875376225E-1,2.757728100E-1
1.700170254E0,-9.741779327E0,4.875376225E-1,2.907279432E-1
1.710170254E0,-9.732208252E0,5.018945336E-1,2.955136001E-1
1.720170254E0,-9.698708534E0,5.018945336E-1,2.955136001E-1
1.730170254E0,-9.684351921E0,4.588237405E-1,2.721835673E-1
1.740170254E0,-9.698708534E0,4.588237405E-1,2.721835673E-1
1.750170254E0,-9.732208252E0,4.588237405E-1,3.337987661E-1
1.760170254E0,-9.728020668E0,4.109672904E-1,3.672982752E-1
1.770170254E0,-9.742377281E0,4.061816335E-1,3.625126183E-1
1.780170254E0,-9.713065147E0,4.061816335E-1,3.439682424E-1
1.790170254E0,-9.646066666E0,4.061816335E-1,2.775674164E-1
1.800170254E0,-9.636494637E0,4.211367965E-1,2.967100143E-1
1.810170254E0,-9.626923561E0,4.450650215E-1,2.961117923E-1
1.820170254E0,-9.669994354E0,4.301098585E-1,3.248256743E-1
1.830170254E0,-9.679565430E0,4.683950245E-1,2.626122832E-1
1.840170254E0,-9.665208817E0,4.444667995E-1,2.626122832E-1
1.850170254E0,-9.703494072E0,4.109672904E-1,3.152543902E-1
1.860170254E0,-9.704092026E0,4.444667995E-1,3.625126183E-1
1.870170254E0,-9.722636223E0,4.492524564E-1,3.385843933E-1
1.880170254E0,-9.760921478E0,3.966103494E-1,3.337987661E-1
1.890170254E0,-9.741779327E0,3.918247223E-1,3.098705411E-1
1.900170254E0,-9.693922997E0,3.870390654E-1,3.200400174E-1
1.910170254E0,-9.693922997E0,3.726821244E-1,3.343969584E-1
1.920170254E0,-9.684351921E0,3.631108403E-1,3.110669553E-1
1.930170254E0,-9.717252731E0,3.726821244E-1,2.817548811E-1
1.940170254E0,-9.736394882E0,3.631108403E-1,2.291127741E-1
1.950170254E0,-9.769296646E0,3.774677813E-1,1.956132501E-1
1.960170254E0,-9.754940033E0,3.678964674E-1,1.908276081E-1
1.970170254E0,-9.745966911E0,3.583251834E-1,2.195414752E-1
1.980170254E0,-9.731609344E0,3.535395563E-1,2.440679073E-1
1.990170254E0,-9.703494072E0,3.487538993E-1,3.014956415E-1
2.000170254E0,-9.708279610E0,3.918247223E-1,3.008974493E-1
2.010170254E0,-9.689137459E0,4.301098585E-1,3.248256743E-1
2.020170254E0,-9.661021233E0,4.396811724E-1,3.822534084E-1
2.030170254E0,-9.661619186E0,4.594219327E-1,4.295116663E-1
2.040170254E0,-9.661619186E0,4.450650215E-1,4.582255483E-1
2.050170254E0,-9.671191216E0,4.205385745E-1,4.540380836E-1
2.060170254E0,-9.680762291E0,4.444667995E-1,4.582255483E-1
2.070170254E0,-9.699904442E0,4.396811724E-1,4.486542344E-1
2.080170254E0,-9.733404160E0,4.301098585E-1,4.342973232E-1
