"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.775811883466532E9,"2026-04-10 18:04:43.467 UTC+09:00"
"PAUSE",6.651675487507600E1,1.775811949982086E9,"2026-04-10 18:05:49.982 UTC+09:00"
