"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.058632710E-1,-9.148957253E0,6.406782866E-1,3.452244759E0
8.158632710E-1,-9.106484413E0,6.460621357E-1,3.524029493E0
8.258632710E-1,-9.083154678E0,6.508477330E-1,3.571886063E0
8.358632710E-1,-9.077771187E0,6.317051649E-1,3.558127165E0
8.458632710E-1,-9.077771187E0,6.125625968E-1,3.500699520E0
8.558632710E-1,-9.072985649E0,6.029912829E-1,3.510270834E0
8.658632710E-1,-9.034700394E0,5.790630579E-1,3.515654564E0
8.758632710E-1,-9.001200676E0,5.455635786E-1,3.554538012E0
8.858632710E-1,-8.997013092E0,5.790630579E-1,3.587439299E0
8.958632710E-1,-8.992227554E0,5.838487148E-1,3.606581926E0
9.058632710E-1,-9.006584167E0,6.125625968E-1,3.601796389E0
9.158632710E-1,-9.020941734E0,6.364908218E-1,3.610769272E0
9.258632710E-1,-9.020941734E0,6.364908218E-1,3.615555048E0
9.358632710E-1,-9.026325226E0,6.460621357E-1,3.653840065E0
9.458632710E-1,-9.040083885E0,6.125625968E-1,3.586841106E0
9.558632710E-1,-9.082556725E0,6.221339107E-1,3.558127165E0
9.658632710E-1,-9.087342262E0,5.742774606E-1,3.538984776E0
9.758632710E-1,-9.086744308E0,5.120640397E-1,3.510869026E0
9.858632710E-1,-9.110671997E0,5.210371017E-1,3.486940861E0
9.958632710E-1,-9.101100922E0,5.401797295E-1,3.482155085E0
1.005863271E0,-9.087342262E0,5.503492355E-1,3.510869026E0
1.015863271E0,-9.068199158E0,5.647061467E-1,3.530011654E0
1.025863271E0,-9.053842545E0,5.742774606E-1,3.520440340E0
1.035863271E0,-9.049057007E0,5.694918036E-1,3.506083488E0
1.045863271E0,-9.087342262E0,6.221339107E-1,3.500699520E0
1.055863271E0,-9.115457535E0,4.971089065E-1,3.496512175E0
1.065863271E0,-9.172885895E0,5.162515044E-1,3.462414265E0
1.075863271E0,-9.215357780E0,4.444667995E-1,3.410370588E0
1.085863271E0,-9.214759827E0,4.396811724E-1,3.362514019E0
1.095863271E0,-9.176474571E0,4.444667995E-1,3.338585854E0
1.105863271E0,-9.109476089E0,4.205385745E-1,3.343969584E0
1.115863271E0,-9.080761909E0,4.157529473E-1,3.358924866E0
1.125863271E0,-9.061619759E0,4.444667995E-1,3.368496180E0
1.135863271E0,-9.085547447E0,4.492524564E-1,3.367897987E0
1.145863271E0,-9.119047165E0,4.779663086E-1,3.305684566E0
1.155863271E0,-9.133403778E0,5.066801906E-1,3.290729284E0
1.165863271E0,-9.133403778E0,5.210371017E-1,3.290729284E0
1.175863271E0,-9.114261627E0,5.353940725E-1,3.285943747E0
1.185863271E0,-9.133403778E0,5.258227587E-1,3.309871912E0
1.195863271E0,-9.162117958E0,5.545366406E-1,3.357130051E0
1.205863271E0,-9.167501450E0,5.688936114E-1,3.376272678E0
1.215863271E0,-9.153144836E0,6.071787477E-1,3.399602890E0
1.225863271E0,-9.134002686E0,5.790630579E-1,3.409772158E0
1.235863271E0,-9.110074043E0,5.647061467E-1,3.400799274E0
1.245863271E0,-9.086145401E0,5.599204898E-1,3.391227961E0
1.255863271E0,-9.085547447E0,5.599204898E-1,3.343371391E0
1.265863271E0,-9.105288506E0,5.545366406E-1,3.381656647E0
1.275863271E0,-9.109476089E0,5.545366406E-1,3.333800077E0
1.285863271E0,-9.095717430E0,5.497509837E-1,3.357728481E0
1.295863271E0,-9.105288506E0,5.353940725E-1,3.367299557E0
1.305863271E0,-9.124430656E0,5.401797295E-1,3.357728481E0
1.315863271E0,-9.114859581E0,5.497509837E-1,3.391227961E0
1.325863271E0,-9.119645119E0,5.784648657E-1,3.414557934E0
1.335863271E0,-9.134002686E0,5.928218365E-1,3.404986620E0
1.345863271E0,-9.144171715E0,6.263213158E-1,3.428914785E0
1.355863271E0,-9.129815102E0,6.167500615E-1,3.424129248E0
1.365863271E0,-9.110671997E0,6.119644046E-1,3.424129248E0
1.375863271E0,-9.110671997E0,6.119644046E-1,3.424129248E0
1.385863271E0,-9.114859581E0,5.880361795E-1,3.385843992E0
1.395863271E0,-9.124430656E0,6.167500615E-1,3.371487141E0
1.405863271E0,-9.143573761E0,6.167500615E-1,3.361915827E0
1.415863271E0,-9.129216194E0,6.023930907E-1,3.357130051E0
1.425863271E0,-9.134002686E0,5.976074338E-1,3.361915827E0
1.435863271E0,-9.153144836E0,6.071787477E-1,3.347558975E0
1.445863271E0,-9.157930374E0,6.215356588E-1,3.357130051E0
1.455863271E0,-9.157930374E0,5.976074338E-1,3.385843992E0
1.465863271E0,-9.157930374E0,6.119644046E-1,3.390629768E0
1.475863271E0,-9.129216194E0,6.167500615E-1,3.361915827E0
1.485863271E0,-9.124430656E0,5.928218365E-1,3.357130051E0
1.495863271E0,-9.119645119E0,6.023930907E-1,3.395415306E0
1.505863271E0,-9.124430656E0,5.976074338E-1,3.400201082E0
1.515863271E0,-9.119645119E0,5.736792088E-1,3.386442184E0
1.525863271E0,-9.134002686E0,5.832505226E-1,3.400201082E0
1.535863271E0,-9.148359299E0,5.688936114E-1,3.376272678E0
1.545863271E0,-9.143573761E0,5.736792088E-1,3.376272678E0
1.555863271E0,-9.124430656E0,6.125625968E-1,3.371487141E0
1.565863271E0,-9.110074043E0,5.982056856E-1,3.352344513E0
1.575863271E0,-9.095717430E0,5.790630579E-1,3.381656647E0
1.585863271E0,-9.090931892E0,5.647061467E-1,3.372085333E0
