"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.782798208250868E9,"2026-06-30 14:43:28.251 UTC+09:00"
"PAUSE",6.659865220834035E1,1.782798274849091E9,"2026-06-30 14:44:34.849 UTC+09:00"
