"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.949999180E-5,7.481152564E-2,-4.319050536E-2,-5.385762081E-2
1.006949999E-2,6.828811765E-2,1.778345555E-1,-8.184557408E-2
2.011049999E-2,1.514460295E-1,3.180739582E-1,-9.589926898E-2
3.015149999E-2,2.368171215E-1,4.251481891E-1,-1.104390621E-1
4.019249999E-2,2.805062234E-1,5.491619110E-1,-1.320139468E-1
5.023250001E-2,2.895013094E-1,6.564596295E-1,-1.613819450E-1
6.027349998E-2,2.532937825E-1,7.497054338E-1,-1.980965585E-1
7.031449999E-2,2.079015225E-1,8.474266529E-1,-2.127173096E-1
8.035450001E-2,1.625364125E-1,8.473652005E-1,-2.172442079E-1
9.039550001E-2,1.140727401E-1,7.772409916E-1,-2.053087205E-1
1.004365000E-1,8.784654737E-2,6.883280873E-1,-1.843436956E-1
1.104765000E-1,7.839125395E-2,6.380428076E-1,-1.573927701E-1
1.205175000E-1,8.606833965E-2,6.833661199E-1,-1.088769734E-1
1.305585000E-1,6.704724580E-2,7.660287619E-1,-7.950816303E-2
1.405995000E-1,3.583646938E-2,8.362592459E-1,-5.595919862E-2
1.506395000E-1,1.001765672E-2,9.027243257E-1,-3.676712885E-2
1.606805000E-1,-3.159031970E-3,9.514873624E-1,-2.325984836E-2
1.707215000E-1,-1.351553202E-2,1.048788190E0,8.811738808E-4
1.807615000E-1,-4.078771174E-2,1.143524289E0,3.736869898E-3
1.908025000E-1,-4.400507733E-2,1.186175585E0,-9.741121903E-3
2.008435000E-1,-5.013538525E-2,1.133929014E0,-3.799754754E-2
2.108835000E-1,-6.218618527E-2,1.025155425E0,-5.243001506E-2
2.209245000E-1,-7.586804032E-2,9.322630167E-1,-5.573409051E-2
2.309655000E-1,-1.215164885E-1,9.061565995E-1,-8.109883964E-2
2.410065000E-1,-1.566736400E-1,9.342648983E-1,-1.109447330E-1
2.510465000E-1,-1.639430076E-1,9.439489841E-1,-1.304585189E-1
2.610875000E-1,-1.789949834E-1,8.819710016E-1,-1.445914507E-1
2.711285000E-1,-1.635499895E-1,7.141460180E-1,-1.368712187E-1
2.811685000E-1,-1.498496681E-1,4.436694980E-1,-1.449946761E-1
2.912095000E-1,-1.143268198E-1,1.451794803E-1,-1.242611706E-1
3.012505000E-1,-5.876294896E-2,-1.327490620E-2,-8.208578825E-2
3.112905000E-1,1.539805322E-3,-4.520297516E-3,-5.067699775E-2
3.213315000E-1,3.455626592E-2,1.087360084E-1,-4.859394580E-2
3.313725000E-1,3.062464111E-2,2.006433010E-1,-6.007935852E-2
3.414135000E-1,6.886345334E-3,2.316247225E-1,-6.827647239E-2
3.514535000E-1,-8.363714442E-3,2.390794456E-1,-6.639548391E-2
3.614945000E-1,-1.042512339E-2,2.252701968E-1,-5.640227720E-2
3.715355000E-1,-1.646570489E-2,2.073913366E-1,-5.867608637E-2
3.815755000E-1,-9.754926898E-3,1.555066556E-1,-5.136169493E-2
3.916165000E-1,-9.406628087E-4,1.143293902E-1,-4.480712116E-2
4.016575000E-1,7.577545941E-3,9.357481450E-2,-3.907586262E-2
4.116975000E-1,1.103805751E-2,7.462110370E-2,-4.010757059E-2
4.217385000E-1,1.323049329E-2,7.249984890E-2,-3.607071191E-2
4.317795000E-1,1.595730521E-2,8.227684349E-2,-3.337399662E-2
4.418205000E-1,2.014958486E-2,9.450433403E-2,-3.202265501E-2
4.518605000E-1,2.277040482E-2,1.112271249E-1,-2.923965268E-2
4.619015000E-1,2.555057593E-2,1.227499023E-1,-2.534259483E-2
4.719425000E-1,2.871893905E-2,1.294267178E-1,-2.284161933E-2
4.819825000E-1,3.318814561E-2,1.353102922E-1,-2.092964947E-2
4.920235000E-1,3.848543763E-2,1.370764971E-1,-2.221835218E-2
5.020645000E-1,4.509793594E-2,1.413144022E-1,-2.454153448E-2
5.121045000E-1,5.372364819E-2,1.467435211E-1,-2.617325261E-2
5.221455000E-1,6.123532727E-2,1.480448097E-1,-2.980830707E-2
5.321865000E-1,7.255935669E-2,1.442569941E-1,-3.434526548E-2
5.422275000E-1,8.527584374E-2,1.404238194E-1,-3.774884343E-2
5.522675000E-1,9.499771893E-2,1.336263716E-1,-4.182214662E-2
5.623085000E-1,1.009202451E-1,1.262921244E-1,-4.605739191E-2
5.723495000E-1,9.822539240E-2,1.194435284E-1,-4.455270618E-2
5.823895000E-1,9.690806270E-2,1.275466681E-1,-4.263918847E-2
