"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.782788983522870E9,"2026-06-30 12:09:43.523 UTC+09:00"
"PAUSE",5.711514208331937E1,1.782789040636935E9,"2026-06-30 12:10:40.637 UTC+09:00"
