"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.774950584591189E9,"2026-03-31 18:49:44.591 UTC+09:00"
"PAUSE",6.070740733330604E1,1.774950645297562E9,"2026-03-31 18:50:45.298 UTC+09:00"
