"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.782798659861103E9,"2026-06-30 14:50:59.861 UTC+09:00"
"PAUSE",7.053368216668605E1,1.782798730393995E9,"2026-06-30 14:52:10.394 UTC+09:00"
