"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
7.833145420E-1,-8.985049248E0,-1.423729509E-1,3.610171080E0
7.933145420E-1,-8.952147484E0,-9.930214286E-2,3.624528170E0
8.033145420E-1,-8.956933022E0,-1.136590764E-1,3.677170277E0
8.133145420E-1,-8.971290588E0,-5.623133108E-2,3.667000771E0
8.233145420E-1,-9.014959335E0,-4.666004330E-2,3.681357622E0
8.333145420E-1,-9.034101486E0,-2.273181453E-2,3.685544968E0
8.433145420E-1,-9.053244591E0,1.076770201E-2,3.661018610E0
8.533145420E-1,-9.104690552E0,1.016949583E-2,3.579662561E0
8.633145420E-1,-9.110074043E0,1.016949583E-2,3.589233875E0
8.733145420E-1,-9.128020287E0,-8.973085321E-3,3.512663603E0
8.833145420E-1,-9.118449211E0,-4.725824669E-2,3.508476257E0
8.933145420E-1,-9.159725189E0,-7.118647546E-2,3.283550978E0
9.033145420E-1,-9.123832703E0,-1.381855011E-1,3.590430260E0
9.133145420E-1,-9.165108681E0,-1.429711580E-1,3.379862070E0
9.233145420E-1,-9.160921097E0,-1.716850251E-1,3.422932863E0
9.333145420E-1,-9.178867340E0,-2.243271172E-1,3.323032379E0
9.433145420E-1,-9.198608398E0,-1.716850251E-1,3.355933666E0
9.533145420E-1,-9.203991890E0,-1.381855011E-1,3.417548895E0
9.633145420E-1,-9.203991890E0,-1.333998591E-1,3.427120209E0
9.733145420E-1,-9.184849739E0,-8.554340899E-2,3.460021496E0
9.833145420E-1,-9.184849739E0,-5.682953820E-2,3.445664644E0
9.933145420E-1,-9.180064201E0,-8.973085321E-3,3.373879910E0
1.003314542E0,-9.184849739E0,6.759724021E-2,3.349353552E0
1.013314542E0,-9.208778381E0,1.106680483E-1,3.353540897E0
1.023314542E0,-9.223134995E0,1.250249892E-1,3.363112211E0
1.033314542E0,-9.223134995E0,1.154536903E-1,3.353540897E0
1.043314542E0,-9.256634712E0,1.298106313E-1,3.357728481E0
1.053314542E0,-9.279964447E0,7.238288224E-2,3.334398270E0
1.063314542E0,-9.303893089E0,5.802594870E-2,3.276970625E0
1.073314542E0,-9.288937569E0,3.409772366E-2,3.276970625E0
1.083314542E0,-9.246464729E0,-1.375873014E-2,3.334996462E0
1.093314542E0,-9.203991890E0,-3.768695518E-2,3.393022537E0
1.103314542E0,-9.128020287E0,-5.682953820E-2,3.470191002E0
1.113314542E0,-9.041878700E0,-4.187439755E-2,3.504288673E0
1.123314542E0,-8.965906143E0,-5.623133108E-2,3.519243956E0
1.133314542E0,-8.941379547E0,-2.273181453E-2,3.495315790E0
1.143314542E0,-8.913264275E0,-3.589233849E-3,3.514458179E0
1.153314542E0,-8.937192917E0,5.383851007E-2,3.504288673E0
1.163314542E0,-8.946763992E0,8.255238086E-2,3.513261795E0
1.173314542E0,-8.995218277E0,1.064806059E-1,3.560520172E0
1.183314542E0,-9.028717995E0,1.447657645E-1,3.559921980E0
1.193314542E0,-9.062217712E0,1.782652885E-1,3.569493294E0
1.203314542E0,-9.086145401E0,1.974078715E-1,3.540181160E0
1.213314542E0,-9.052047729E0,1.782652885E-1,3.512065411E0
1.223314542E0,-9.032905579E0,1.782652885E-1,3.507279873E0
1.233314542E0,-9.038289070E0,1.160518974E-1,3.550948858E0
1.243314542E0,-9.018548965E0,1.112662554E-1,3.531806231E0
1.253314542E0,-9.052646637E0,1.016949639E-1,3.579662561E0
1.263314542E0,-9.038289070E0,1.016949639E-1,3.603590965E0
1.273314542E0,-9.057432175E0,9.212367237E-2,3.603590965E0
1.283314542E0,-9.062217712E0,1.112662554E-1,3.607778311E0
1.293314542E0,-9.062217712E0,1.351944804E-1,3.612564087E0
1.303314542E0,-9.057432175E0,1.351944804E-1,3.612564087E0
1.313314542E0,-9.081359863E0,1.351944804E-1,3.617349625E0
1.323314542E0,-9.090931892E0,1.298106313E-1,3.593421459E0
1.333314542E0,-9.105288506E0,8.673982322E-2,3.574278831E0
1.343314542E0,-9.119645119E0,7.238288224E-2,3.593421459E0
1.353314542E0,-9.134002686E0,9.152546525E-2,3.583850145E0
1.363314542E0,-9.123832703E0,9.152546525E-2,3.540779352E0
1.373314542E0,-9.104690552E0,9.631111473E-2,3.550350666E0
1.383314542E0,-9.062217712E0,1.208375469E-1,3.588635683E0
1.393314542E0,-9.005388260E0,1.064806059E-1,3.699303865E0
1.403314542E0,-8.996415138E0,1.351944804E-1,3.732205153E0
1.413314542E0,-9.010771751E0,1.878365725E-1,3.713062525E0
1.423314542E0,-9.048459053E0,1.878365725E-1,3.659822226E0
1.433314542E0,-9.091529846E0,1.734796464E-1,3.635894060E0
1.443314542E0,-9.077172279E0,2.021935135E-1,3.607180119E0
1.453314542E0,-9.052646637E0,1.064806059E-1,3.565305710E0
1.463314542E0,-9.077172279E0,9.690931439E-2,3.641277790E0
1.473314542E0,-9.081958771E0,6.759724021E-2,3.656233072E0
1.483314542E0,-9.038289070E0,-9.032905847E-2,3.609572887E0
1.493314542E0,-9.013762474E0,-7.058826834E-2,3.595216036E0
1.503314542E0,-9.004789352E0,-1.184447184E-1,3.648456335E0
1.513314542E0,-8.995218277E0,-8.973085135E-2,3.671786308E0
1.523314542E0,-8.971888542E0,-1.280160099E-1,3.691527128E0
1.533314542E0,-8.986245155E0,-1.471585929E-1,3.739383698E0
1.543314542E0,-8.995817184E0,-1.040877849E-1,3.743571043E0
1.553314542E0,-8.995817184E0,-6.101697683E-2,3.729214191E0
1.563314542E0,-9.014959335E0,-6.101697683E-2,3.733999729E0
1.573314542E0,-9.034101486E0,-7.597211748E-2,3.729214191E0
1.583314542E0,-9.072386742E0,-9.990034252E-2,3.719642878E0
1.593314542E0,-9.090931892E0,-1.094716340E-1,3.671786308E0
1.603314542E0,-9.043074608E0,-4.247260094E-2,3.661616802E0
1.613314542E0,-8.971290588E0,2.991028316E-2,3.613760471E0
1.623314542E0,-8.851649284E0,1.974078715E-1,3.522833109E0
1.633314542E0,-9.289535522E0,-5.599204898E-1,4.137190342E0
1.643314542E0,-9.291928291E0,-3.589234054E-1,3.757927895E0
1.653314542E0,-9.148359299E0,-1.573280841E-1,3.647858143E0
1.663314542E0,-9.018548965E0,-1.525424421E-1,3.610171080E0
1.673314542E0,-8.961120605E0,-1.280160099E-1,3.567698479E0
1.683314542E0,-8.947361946E0,-1.710868180E-1,3.687339783E0
1.693314542E0,-8.929415703E0,-1.567298770E-1,3.806980848E0
1.703314542E0,-8.924630165E0,-1.710868180E-1,3.850051641E0
1.713314542E0,-8.967700958E0,-2.003988922E-1,3.806980848E0
1.723314542E0,-8.982057571E0,-1.764706671E-1,3.792025566E0
1.733314542E0,-8.967103004E0,-8.015955985E-2,3.691527128E0
1.743314542E0,-8.891130447E0,5.982056726E-3,3.753142357E0
1.753314542E0,-8.896514893E0,1.555334684E-2,3.853640795E0
1.763314542E0,-8.858827591E0,1.208375469E-1,3.891327858E0
1.773314542E0,-8.840283394E0,2.027917206E-1,3.914657831E0
1.783314542E0,-8.911469460E0,2.021935135E-1,3.875774384E0
1.793314542E0,-8.944969177E0,2.548356056E-1,3.841676712E0
1.803314542E0,-9.035298347E0,2.739782035E-1,3.774079561E0
1.813314542E0,-9.073583603E0,3.170489967E-1,3.744767427E0
1.823314542E0,-9.077771187E0,3.122633696E-1,3.725624800E0
1.833314542E0,-9.082556725E0,3.026920557E-1,3.721437454E0
1.843314542E0,-9.049654961E0,3.218346536E-1,3.735794306E0
1.853314542E0,-9.002396584E0,3.266202807E-1,3.817150354E0
1.863314542E0,-8.959924698E0,3.266202807E-1,3.884149313E0
1.873314542E0,-8.950352669E0,3.026920557E-1,3.932604074E0
1.883314542E0,-8.916853905E0,2.739782035E-1,3.946960926E0
1.893314542E0,-8.912068367E0,2.261217386E-1,3.904488325E0
1.903314542E0,-8.911469460E0,2.021935135E-1,3.847658873E0
1.913314542E0,-8.892327309E0,1.639083475E-1,3.866801500E0
1.923314542E0,-8.882756233E0,1.495514214E-1,3.866801500E0
1.933314542E0,-8.877969742E0,1.208375469E-1,3.867399693E0
1.943314542E0,-8.911469460E0,8.733802289E-2,3.891327858E0
1.953314542E0,-8.906683922E0,6.819544733E-2,3.896113396E0
1.963314542E0,-8.921041489E0,6.819544733E-2,3.924827337E0
1.973314542E0,-8.906683922E0,4.905286431E-2,3.920041800E0
1.983314542E0,-8.897112846E0,2.991028316E-2,3.915256023E0
1.993314542E0,-8.892327309E0,-3.589233849E-3,3.930211306E0
2.003314542E0,-8.921041489E0,-3.230310604E-2,3.925425529E0
2.013314542E0,-8.925827026E0,-7.537391037E-2,3.911068678E0
2.023314542E0,-8.935398102E0,-1.184447184E-1,3.916452408E0
2.033314542E0,-8.944371223E0,-1.710868180E-1,3.892524242E0
2.043314542E0,-8.968298912E0,-1.950150430E-1,3.869194269E0
2.053314542E0,-8.986844063E0,-2.147558331E-1,3.840480328E0
2.063314542E0,-8.982057571E0,-2.051845491E-1,3.845266104E0
2.073314542E0,-8.977272034E0,-2.195414752E-1,3.864408493E0
2.083314542E0,-8.987442017E0,-2.147558331E-1,3.897309780E0
2.093314542E0,-8.977870941E0,-1.710868180E-1,3.902095556E0
2.103314542E0,-8.959325790E0,-1.519442350E-1,3.964308977E0
2.113314542E0,-8.949754715E0,-1.280160099E-1,3.949951887E0
2.123314542E0,-8.930612564E0,-8.494520187E-2,3.940380573E0
2.133314542E0,-8.897112846E0,-9.451649338E-2,3.940380573E0
2.143314542E0,-8.858827591E0,-8.494520187E-2,3.916452408E0
2.153314542E0,-8.854042053E0,-7.537391037E-2,3.935595036E0
2.163314542E0,-8.830113411E0,-6.101697683E-2,3.945166349E0
2.173314542E0,-8.792427063E0,-3.708875179E-2,3.969692707E0
2.183314542E0,-8.787641525E0,-8.374879137E-3,3.973880291E0
2.193314542E0,-8.802596092E0,9.212367237E-2,4.006781578E0
2.203314542E0,-8.788837433E0,1.453639716E-1,4.063611031E0
2.213314542E0,-8.807980537E0,1.399801224E-1,4.063611031E0
2.223314542E0,-8.841479301E0,1.399801224E-1,4.068396568E0
2.233314542E0,-8.879166603E0,1.256231815E-1,4.015156269E0
2.243314542E0,-8.922237396E0,7.298108935E-2,4.015754700E0
2.253314542E0,-8.945567131E0,3.948157281E-2,3.958326817E0
2.263314542E0,-8.940183640E0,-2.751746029E-2,3.949353695E0
2.273314542E0,-8.935398102E0,-5.144568533E-2,3.939782381E0
2.283314542E0,-8.935398102E0,-7.537391037E-2,3.945166349E0
2.293314542E0,-8.925827026E0,-9.451649338E-2,3.945166349E0
2.303314542E0,-8.911469460E0,-8.973085135E-2,3.926023722E0
2.313314542E0,-8.892327309E0,-8.494520187E-2,3.959523201E0
2.323314542E0,-8.873783112E0,-6.101697683E-2,3.969094515E0
2.333314542E0,-8.897112846E0,-1.794617064E-2,3.920639992E0
2.343314542E0,-8.925827026E0,2.991028316E-2,3.905684710E0
2.353314542E0,-8.959325790E0,3.948157281E-2,3.891327858E0
2.363314542E0,-8.997013092E0,3.948157281E-2,3.867399693E0
2.373314542E0,-9.011968613E0,6.340979785E-2,3.871587038E0
2.383314542E0,-8.987442017E0,6.819544733E-2,3.866801500E0
2.393314542E0,-8.977870941E0,6.340979785E-2,3.852444410E0
2.403314542E0,-8.949754715E0,8.255238086E-2,3.866801500E0
2.413314542E0,-8.921041489E0,8.733802289E-2,3.890729666E0
2.423314542E0,-8.911469460E0,9.690931439E-2,3.905086517E0
2.433314542E0,-8.916254997E0,9.212367237E-2,3.933800459E0
2.443314542E0,-8.912068367E0,9.690931439E-2,3.967299938E0
2.453314542E0,-8.907281876E0,8.733802289E-2,3.948755503E0
2.463314542E0,-8.892925262E0,9.690931439E-2,3.958326817E0
2.473314542E0,-8.888139725E0,1.064806059E-1,3.943969965E0
2.483314542E0,-8.888139725E0,8.733802289E-2,3.943969965E0
2.493314542E0,-8.888139725E0,7.298108935E-2,3.943969965E0
2.503314542E0,-8.906683922E0,8.255238086E-2,3.910470486E0
2.513314542E0,-8.916254997E0,1.064806059E-1,3.890729666E0
2.523314542E0,-8.892327309E0,1.447657645E-1,3.876372576E0
2.533314542E0,-8.868398666E0,1.686939895E-1,3.895515203E0
2.543314542E0,-8.864211082E0,1.639083475E-1,3.943371773E0
2.553314542E0,-8.849854469E0,1.734796464E-1,3.952943087E0
2.563314542E0,-8.845068932E0,1.639083475E-1,3.953541279E0
2.573314542E0,-8.850452423E0,1.734796464E-1,3.981656790E0
2.583314542E0,-8.854640007E0,1.447657645E-1,3.977469444E0
2.593314542E0,-8.897710800E0,1.160518974E-1,3.929014683E0
2.603314542E0,-8.921041489E0,1.016949639E-1,3.895515203E0
2.613314542E0,-8.897112846E0,8.255238086E-2,3.905684710E0
2.623314542E0,-8.911469460E0,4.905286431E-2,3.924827337E0
2.633314542E0,-8.911469460E0,1.555334684E-2,3.939184189E0
2.643314542E0,-8.921041489E0,-8.374879137E-3,3.901497364E0
2.653314542E0,-8.921041489E0,5.982056726E-3,3.896711588E0
2.663314542E0,-8.944969177E0,-8.374879137E-3,3.906282902E0
2.673314542E0,-8.959325790E0,-1.316052489E-2,3.915256023E0
2.683314542E0,-8.964112282E0,5.982056726E-3,3.896113396E0
2.693314542E0,-8.968897820E0,1.196411322E-3,3.920041800E0
2.703314542E0,-8.959325790E0,1.076770201E-2,3.896113396E0
2.713314542E0,-8.930612564E0,2.512463741E-2,3.905684710E0
2.723314542E0,-8.930612564E0,4.426721856E-2,3.896113396E0
2.733314542E0,-8.916254997E0,4.426721856E-2,3.881756544E0
2.743314542E0,-8.915657043E0,6.340979785E-2,3.843471289E0
2.753314542E0,-8.930013657E0,6.340979785E-2,3.843471289E0
2.763314542E0,-8.925228119E0,4.905286431E-2,3.843471289E0
2.773314542E0,-8.930013657E0,6.819544733E-2,3.824328899E0
2.783314542E0,-8.930013657E0,3.948157281E-2,3.857828379E0
2.793314542E0,-8.925827026E0,3.948157281E-2,3.881756544E0
2.803314542E0,-8.934800148E0,2.991028316E-2,3.857828379E0
2.813314542E0,-8.915657043E0,3.469592705E-2,3.848257065E0
2.823314542E0,-8.958727837E0,3.948157281E-2,3.857828379E0
