"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773128577007789E9,"2026-03-10 16:42:57.008 UTC+09:00"
"PAUSE",6.923423829166859E1,1.773128646241168E9,"2026-03-10 16:44:06.241 UTC+09:00"
