"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.782184360910676E9,"2026-06-23 12:12:40.911 UTC+09:00"
"PAUSE",5.505948591663036E1,1.782184415968166E9,"2026-06-23 12:13:35.968 UTC+09:00"
