"event","experiment time","system time","system time text"
"START",0.000000000E0,1746517160.344,"2025-05-06 16:39:20.344 UTC+09:00"
"PAUSE",4.148108921E1,1746517201.825,"2025-05-06 16:40:01.825 UTC+09:00"
