"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.776313067830893E9,"2026-04-16 13:17:47.831 UTC+09:00"
"PAUSE",1.480523949999770E1,1.776313082635798E9,"2026-04-16 13:18:02.636 UTC+09:00"
