"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.782798492756496E9,"2026-06-30 14:48:12.756 UTC+09:00"
"PAUSE",6.590037754166406E1,1.782798558654979E9,"2026-06-30 14:49:18.655 UTC+09:00"
