"event","experiment time","system time","system time text"
"START",0.000000000E0,1746522500.991,"2025-05-06 18:08:20.991 UTC+09:00"
"PAUSE",4.475843573E1,1746522545.749,"2025-05-06 18:09:05.749 UTC+09:00"
