"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.782798754559480E9,"2026-06-30 14:52:34.559 UTC+09:00"
"PAUSE",7.290078670834191E1,1.782798827459448E9,"2026-06-30 14:53:47.459 UTC+09:00"
